cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-08-31,0.0,,79.25,2.5,2014,ALEGRETE
ALEGRETE,2014-09-01,0.0,,74.20833333333333,3.6,2014,ALEGRETE
ALEGRETE,2014-09-02,0.0,17.0,83.95833333333333,4.666666666666667,2014,ALEGRETE
ALEGRETE,2014-09-03,0.0,16.666666666666668,82.66666666666667,4.0,2014,ALEGRETE
ALEGRETE,2014-09-04,0.0,16.333333333333332,80.70833333333333,4.0,2014,ALEGRETE
ALEGRETE,2014-09-05,0.0,19.0,88.95833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-09-06,0.0,16.5,89.91666666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-09-07,0.0,17.333333333333332,76.54166666666667,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-09-08,0.0,21.25,82.29166666666667,2.0,2014,ALEGRETE
ALEGRETE,2014-09-09,0.0,31.333333333333332,64.75,7.0,2014,ALEGRETE
ALEGRETE,2014-09-10,0.0,17.333333333333332,80.33333333333333,3.5,2014,ALEGRETE
ALEGRETE,2014-09-11,0.0,14.0,60.25,4.0,2014,ALEGRETE
ALEGRETE,2014-09-12,0.0,14.5,86.125,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-09-13,0.0,16.0,87.66666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-09-14,0.0,20.5,89.29166666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-09-15,0.0,15.5,82.95833333333333,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-09-16,0.0,11.333333333333334,76.0,1.5,2014,ALEGRETE
ALEGRETE,2014-09-17,0.0,19.0,73.45833333333333,2.0,2014,ALEGRETE
ALEGRETE,2014-09-18,0.0,16.25,86.75,2.0,2014,ALEGRETE
ALEGRETE,2014-09-19,0.0,19.333333333333332,86.91666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-09-20,0.0,17.666666666666668,74.91666666666667,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-09-21,0.0,14.333333333333334,74.58333333333333,1.6666666666666667,2014,ALEGRETE
ALEGRETE,2014-09-22,0.0,12.0,71.08333333333333,,2014,ALEGRETE
ALEGRETE,2014-09-23,0.0,23.5,66.625,2.5,2014,ALEGRETE
ALEGRETE,2014-09-24,0.0,21.0,75.91666666666667,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-09-25,0.0,15.0,78.875,3.0,2014,ALEGRETE
ALEGRETE,2014-09-26,0.0,19.5,74.66666666666667,3.25,2014,ALEGRETE
ALEGRETE,2014-09-27,0.0,15.0,67.875,4.333333333333333,2014,ALEGRETE
ALEGRETE,2014-09-28,0.0,17.5,87.33333333333333,,2014,ALEGRETE
ALEGRETE,2014-09-29,0.0,21.5,84.54166666666667,2.1666666666666665,2014,ALEGRETE
ALEGRETE,2014-09-30,0.0,18.25,91.08333333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-10-01,0.0,22.0,76.16666666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-10-02,0.0,16.5,70.33333333333333,4.5,2014,ALEGRETE
ALEGRETE,2014-10-03,0.0,16.0,68.20833333333333,,2014,ALEGRETE
ALEGRETE,2014-10-04,0.0,21.5,68.20833333333333,5.0,2014,ALEGRETE
ALEGRETE,2014-10-05,0.0,18.0,79.08333333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-10-06,0.0,17.0,92.58333333333333,2.6666666666666665,2014,ALEGRETE
ALEGRETE,2014-10-07,0.0,18.0,85.45833333333333,1.0,2014,ALEGRETE
ALEGRETE,2014-10-08,0.0,29.0,74.29166666666667,1.5,2014,ALEGRETE
ALEGRETE,2014-10-09,0.0,26.0,71.25,2.2,2014,ALEGRETE
ALEGRETE,2014-10-10,0.0,17.0,85.5,2.3333333333333335,2014,ALEGRETE
