Unidade de Medida,valor,cod_municipio,ano,variavel,produto
Quilogramas por Hectare,9000.0,4300059,2017,Rendimento médio da produção,Milho
Quilogramas por Hectare,3900.0,4300059,2017,Rendimento médio da produção,Soja
Quilogramas por Hectare,2700.0,4300059,2017,Rendimento médio da produção,Trigo
Mil Reais,91.0,4300059,2017,Valor da produção,Fumo
Mil Reais,3060.0,4300059,2017,Valor da produção,Milho
Mil Reais,51990.0,4300059,2017,Valor da produção,Soja
Mil Reais,1236.0,4300059,2017,Valor da produção,Trigo
Hectares,5.0,4300059,2018,Área plantada,Fumo
Hectares,850.0,4300059,2018,Área plantada,Milho
Hectares,13850.0,4300059,2018,Área plantada,Soja
Hectares,1000.0,4300059,2018,Área plantada,Trigo
Hectares,5.0,4300059,2018,Área colhida,Fumo
Hectares,850.0,4300059,2018,Área colhida,Milho
Hectares,13850.0,4300059,2018,Área colhida,Soja
Hectares,1000.0,4300059,2018,Área colhida,Trigo
Toneladas,9.0,4300059,2018,Quantidade produzida,Fumo
Toneladas,6630.0,4300059,2018,Quantidade produzida,Milho
Toneladas,54015.0,4300059,2018,Quantidade produzida,Soja
Toneladas,3000.0,4300059,2018,Quantidade produzida,Trigo
Quilogramas por Hectare,1800.0,4300059,2018,Rendimento médio da produção,Fumo
Quilogramas por Hectare,7800.0,4300059,2018,Rendimento médio da produção,Milho
Quilogramas por Hectare,3900.0,4300059,2018,Rendimento médio da produção,Soja
Quilogramas por Hectare,3000.0,4300059,2018,Rendimento médio da produção,Trigo
Mil Reais,54.0,4300059,2018,Valor da produção,Fumo
Mil Reais,3424.0,4300059,2018,Valor da produção,Milho
Mil Reais,62981.0,4300059,2018,Valor da produção,Soja
Mil Reais,1800.0,4300059,2018,Valor da produção,Trigo
Hectares,2.0,4300059,2019,Área plantada,Fumo
Hectares,950.0,4300059,2019,Área plantada,Milho
Hectares,15000.0,4300059,2019,Área plantada,Soja
Hectares,1500.0,4300059,2019,Área plantada,Trigo
Hectares,2.0,4300059,2019,Área colhida,Fumo
Hectares,950.0,4300059,2019,Área colhida,Milho
Hectares,15000.0,4300059,2019,Área colhida,Soja
Hectares,1500.0,4300059,2019,Área colhida,Trigo
Toneladas,4.0,4300059,2019,Quantidade produzida,Fumo
Toneladas,9500.0,4300059,2019,Quantidade produzida,Milho
Toneladas,58500.0,4300059,2019,Quantidade produzida,Soja
Toneladas,6000.0,4300059,2019,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2019,Rendimento médio da produção,Fumo
Quilogramas por Hectare,10000.0,4300059,2019,Rendimento médio da produção,Milho
Quilogramas por Hectare,3900.0,4300059,2019,Rendimento médio da produção,Soja
Quilogramas por Hectare,4000.0,4300059,2019,Rendimento médio da produção,Trigo
Mil Reais,24.0,4300059,2019,Valor da produção,Fumo
Mil Reais,5314.0,4300059,2019,Valor da produção,Milho
Mil Reais,62753.0,4300059,2019,Valor da produção,Soja
Mil Reais,3960.0,4300059,2019,Valor da produção,Trigo
Hectares,4.0,4300059,2020,Área plantada,Fumo
Hectares,1300.0,4300059,2020,Área plantada,Milho
Hectares,14800.0,4300059,2020,Área plantada,Soja
Hectares,1500.0,4300059,2020,Área plantada,Trigo
Hectares,4.0,4300059,2020,Área colhida,Fumo
Hectares,1300.0,4300059,2020,Área colhida,Milho
Hectares,14800.0,4300059,2020,Área colhida,Soja
Hectares,1500.0,4300059,2020,Área colhida,Trigo
Toneladas,9.0,4300059,2020,Quantidade produzida,Fumo
Toneladas,10530.0,4300059,2020,Quantidade produzida,Milho
Toneladas,34632.0,4300059,2020,Quantidade produzida,Soja
Toneladas,4500.0,4300059,2020,Quantidade produzida,Trigo
Quilogramas por Hectare,2250.0,4300059,2020,Rendimento médio da produção,Fumo
Quilogramas por Hectare,8100.0,4300059,2020,Rendimento médio da produção,Milho
Quilogramas por Hectare,2340.0,4300059,2020,Rendimento médio da produção,Soja
Quilogramas por Hectare,3000.0,4300059,2020,Rendimento médio da produção,Trigo
Mil Reais,54.0,4300059,2020,Valor da produção,Fumo
Mil Reais,8424.0,4300059,2020,Valor da produção,Milho
Mil Reais,52059.0,4300059,2020,Valor da produção,Soja
Mil Reais,5247.0,4300059,2020,Valor da produção,Trigo
Hectares,2.0,4300059,2021,Área plantada,Fumo
Hectares,1400.0,4300059,2021,Área plantada,Milho
Hectares,14500.0,4300059,2021,Área plantada,Soja
Hectares,1600.0,4300059,2021,Área plantada,Trigo
Hectares,2.0,4300059,2021,Área colhida,Fumo
Hectares,1400.0,4300059,2021,Área colhida,Milho
Hectares,14500.0,4300059,2021,Área colhida,Soja
Hectares,1600.0,4300059,2021,Área colhida,Trigo
Toneladas,4.0,4300059,2021,Quantidade produzida,Fumo
Toneladas,14000.0,4300059,2021,Quantidade produzida,Milho
Toneladas,50460.0,4300059,2021,Quantidade produzida,Soja
Toneladas,6240.0,4300059,2021,Quantidade produzida,Trigo
Quilogramas por Hectare,2000.0,4300059,2021,Rendimento médio da produção,Fumo
Quilogramas por Hectare,10000.0,4300059,2021,Rendimento médio da produção,Milho
Quilogramas por Hectare,3480.0,4300059,2021,Rendimento médio da produção,Soja
Quilogramas por Hectare,3900.0,4300059,2021,Rendimento médio da produção,Trigo
Mil Reais,32.0,4300059,2021,Valor da produção,Fumo
